iter	Logloss
0	0.6561063925
1	0.6254149406
2	0.5969155496
3	0.5732883418
4	0.549745828
5	0.5314736048
6	0.5127035361
7	0.4964303484
8	0.4818997181
9	0.4690657485
10	0.4563734411
11	0.4467822319
12	0.4372781548
13	0.4300088513
14	0.4232589454
15	0.4161961716
16	0.4143375103
17	0.4105836786
18	0.4033122156
19	0.3987014461
20	0.3941624709
21	0.389537937
22	0.3872229559
23	0.3826881855
24	0.3775293078
25	0.3746750825
26	0.3713975842
27	0.3675471989
28	0.3648559877
29	0.3626394761
30	0.3588653623
31	0.3556747149
32	0.3536087811
33	0.350730335
34	0.3490691804
35	0.3469829454
36	0.3446044362
37	0.3423596098
38	0.3411746493
39	0.3398091548
40	0.3374282192
41	0.3357020493
42	0.3339842971
43	0.3315407403
44	0.3296827237
45	0.3280953462
46	0.3256786073
47	0.3247632637
48	0.3224590353
49	0.3204060604
50	0.3179845292
51	0.316772836
52	0.3157997454
53	0.3138674285
54	0.3117276254
55	0.3103318017
56	0.309676769
57	0.3083084861
58	0.3063064642
59	0.3056352469
60	0.3045632592
61	0.3037747608
62	0.3026994158
63	0.3013716091
64	0.3000835147
65	0.298278145
66	0.2972988869
67	0.2956447803
68	0.2940098724
69	0.2925165772
70	0.2913296304
71	0.2905095546
72	0.2900475324
73	0.2896654783
74	0.2882305505
75	0.2874528124
76	0.2866882153
77	0.2856152916
78	0.284642734
79	0.2836004138
80	0.2826844364
81	0.2813043685
82	0.2806816267
83	0.2800490501
84	0.2784945865
85	0.2771130369
86	0.2759938558
87	0.274251498
88	0.2729930104
89	0.2716623911
90	0.2709237716
91	0.2694120027
92	0.267047475
93	0.2662133956
94	0.265507708
95	0.2650196537
96	0.2643364757
97	0.2633497657
98	0.2628543174
99	0.2610549103
