iter	Passed	Remaining
0	52	5222
1	69	3390
2	108	3503
3	118	2838
4	136	2586
5	148	2332
6	162	2156
7	168	1942
8	182	1847
9	197	1777
10	219	1772
11	238	1746
12	241	1614
13	264	1626
14	276	1566
15	326	1714
16	333	1626
17	355	1618
18	395	1684
19	400	1600
20	405	1525
21	438	1553
22	463	1551
23	480	1521
24	489	1468
25	502	1429
26	517	1398
27	525	1352
28	542	1328
29	551	1287
30	557	1240
31	574	1219
32	589	1197
33	639	1240
34	657	1220
35	668	1188
36	682	1162
37	714	1166
38	724	1133
39	738	1108
40	758	1092
41	774	1069
42	786	1043
43	794	1011
44	802	981
45	817	959
46	834	940
47	845	915
48	854	889
49	864	864
50	875	841
51	883	815
52	890	789
53	898	765
54	905	740
55	910	715
56	917	691
57	922	668
58	932	648
59	940	627
60	948	606
61	957	586
62	964	566
63	972	546
64	979	527
65	985	507
66	990	487
67	996	469
68	1003	451
69	1010	433
70	1016	415
71	1024	398
72	1031	381
73	1039	365
74	1047	349
75	1057	333
76	1065	318
77	1075	303
78	1085	288
79	1094	273
80	1103	258
81	1112	244
82	1121	229
83	1132	215
84	1140	201
85	1154	187
86	1166	174
87	1175	160
88	1185	146
89	1192	132
90	1204	119
91	1209	105
92	1221	91
93	1227	78
94	1233	64
95	1240	51
96	1249	38
97	1255	25
98	1266	12
99	1273	0
